INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,BengalW,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,BengalW,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,BengalW,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,MahanadiR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,MahanadiR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,MahanadiR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,GodavariR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,GodavariR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,GodavariR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstNE,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstNE,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,IndCstNE,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstW,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstW,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,IndCstW,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,KrishnaR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,KrishnaR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,KrishnaR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstE,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstE,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,IndCstE,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,PennarR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,PennarR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,PennarR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,CauveryR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,CauveryR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,CauveryR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstS,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstS,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,IndCstS,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,NarmadaR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,NarmadaR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,NarmadaR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,GangesR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,GangesR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,GangesR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,MahiR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
