,,,,,,,calOuputVCalue,efficiency,Value,Total,From the electricity
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.010502766,0.340741,0.030823312,,
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.001339596,0.340741,0.00393142,,
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.004281654,0.340741,0.012565714,,
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.000186347,0.340741,0.000546888,,
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.008864789,0.340741,0.026016209,,
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.002469297,0.340741,0.007246844,,
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.001703489,0.340741,0.004999366,,
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.00361654,0.340741,0.010613751,,
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.001939749,0.340741,0.005692737,,
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.002158773,0.340741,0.006335525,,
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.020477718,0.340741,0.060097605,,
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.034835547,0.340741,0.10223468,,
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.111188046,0.340741,0.326312495,,
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.002257608,0.340741,0.006625584,,
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.000666297,0.340741,0.001955435,,
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.006823169,0.340741,0.020024502,,
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.010746972,0.340741,0.031540003,,
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.006174574,0.340741,0.018121019,,
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.01803448,0.340741,0.052927238,,
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.036841617,0.340741,0.108122055,,
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.004699036,0.340741,0.013790639,,
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.015019191,0.340741,0.044078027,,
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.000653667,0.340741,0.001918369,,
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.031095921,0.340741,0.091259699,,
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.008661804,0.340741,0.025420492,,
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.005975502,0.340741,0.017536786,,
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.012686104,0.340741,0.037230929,,
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.006804254,0.340741,0.019968991,,
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (recirculating),1990,0.007572549,0.340741,0.022223768,,
