INPUT_TABLE
Variable ID
zwater_Indiacoolingtech_shrwt

region,sector,nesting.subsector1,nesting.subsector2,subsector,technology,apply.to,from.year,to.year,from.value,to.value,interpolation.function
India,electricity,GodavariR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,IndCstE,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,IndCstNE,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,IndCstS,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,IndCstW,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,IndusR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,IrrawaddyR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225568,0.225568,fixed
India,electricity,KrishnaR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,MahanadiR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,MahiR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225641,0.225641,fixed
India,electricity,NarmadaR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,PennarR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,SabarmatiR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,TaptiR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,BengalBay,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,BengalW,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,BrahmaniR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,CauveryR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,GangesR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,GodavariR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,IndCstE,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,IndCstNE,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,IndCstS,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,IndCstW,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,IndusR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,IrrawaddyR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,KrishnaR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,MahanadiR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,MahiR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,NarmadaR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,PennarR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,SabarmatiR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,TaptiR,solar,solar,PV,share-weight,2015,2100,1,1,fixed
India,electricity,BengalBay,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,BengalW,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,BrahmaniR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,CauveryR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,GangesR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,GodavariR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,IndCstE,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,IndCstNE,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,IndCstS,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,IndCstW,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,IndusR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,IrrawaddyR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,KrishnaR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,MahanadiR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,MahiR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,NarmadaR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,PennarR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,SabarmatiR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,TaptiR,solar,solar,PV_storage,share-weight,2015,2100,0,0.1,fixed
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.657622,0.657622,fixed
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658619,0.658619,fixed
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.660085,0.660085,fixed
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658614,0.658614,fixed
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658618,0.658618,fixed
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (once through),share-weight,2015,2100,0.658617,0.658617,fixed
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282537,0.282537,fixed
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282171,0.282171,fixed
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282171,0.282171,fixed
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282171,0.282171,fixed
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282171,0.282171,fixed
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282801,0.282801,fixed
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.281989,0.281989,fixed
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282171,0.282171,fixed
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282173,0.282173,fixed
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (seawater),share-weight,2015,2100,0.282172,0.282172,fixed
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2015,2030,0,0,fixed
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (dry cooling),share-weight,2025,2100,0,0.8,linear
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,GodavariR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (once through),share-weight,2015,2100,0,0,fixed
