INPUT_TABLE
Variable ID
Indiacoolingelec_logit

region,supplysector,subsector0,subsector1,subsector,stub.technology,logit.year.fillout,logit.exponent,logit.type
India,electricity,MahanadiR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,GodavariR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstNE,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstW,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,solar,solar,PV_storage,1975,-6,relative.cost.logit
